broker,direction,district,fecha_publicacion,idCliente,lat,lon,portal,supTotal,supUtil,tipo,title,url,valor,vivienda
Go Propiedades,Metro Toesca / Avenida Ejército Esquina Santa Isabel,santiago,09-12-2019,5269689,-33.4535904,-70.6601181,Portal Inmobiliario,74,37,arriendo,Metro Toesca / Avenida Ejército Esquina Santa Isabel,https://www.portalinmobiliario.com/arriendo/departamento/santiago-metropolitana/5269689-metro-toesca-avenida-ejercito-esquina-santa-isabel-uda,280000,departamento
Arriendoasegurado.com,Tarapacá,santiago,12-12-2019,5280548,-33.4478989,-70.6539001,Portal Inmobiliario,73,70,arriendo,Tarapacá,https://www.portalinmobiliario.com/arriendo/departamento/santiago-metropolitana/5280548-tarapaca-uda,530000,departamento
Karsten Corredores De Propiedades Spa,Avenida Portugal 941,santiago,12-12-2019,5280311,-33.454464,-70.6338272,Portal Inmobiliario,37,36,arriendo,Avenida Portugal 941,https://www.portalinmobiliario.com/arriendo/departamento/santiago-metropolitana/5280311-avenida-portugal-941-uda,300000,departamento
Erika Jadue J. Broker Y Corredor Inmobiliario,Tarapacá 1324,santiago,11-12-2019,5154071,-33.4480324,-70.653862,Portal Inmobiliario,40,40,arriendo,Tarapacá 1324,https://www.portalinmobiliario.com/arriendo/departamento/santiago-metropolitana/5154071-tarapaca-1324-uda,285000,departamento
Horos Propiedades,Arturo Prat 1450 - Departamento 1309,santiago,13-12-2019,5282619,-33.4646721,-70.646843,Portal Inmobiliario,20,20,arriendo,Arturo Prat 1450 - Departamento 1309,https://www.portalinmobiliario.com/arriendo/departamento/santiago-metropolitana/5282619-arturo-prat-1450-departamento-1309-uda,220000,departamento
Santiago Rubio Propiedades,Avenida Manuel Antonio Matta 949 Santiago,santiago,10-12-2019,5272243,-33.4582329,-70.6432877,Portal Inmobiliario,37,37,arriendo,Avenida Manuel Antonio Matta 949 Santiago,https://www.portalinmobiliario.com/arriendo/departamento/santiago-metropolitana/5272243-avenida-manuel-antonio-matta-949-santiago-uda,260000,departamento
Prodesco,San Isidro 204,santiago,13-12-2019,5201047,-33.4458084,-70.643959,Portal Inmobiliario,55,55,arriendo,San Isidro 204,https://www.portalinmobiliario.com/arriendo/departamento/santiago-metropolitana/5201047-san-isidro-204-uda,340000,departamento
Saenger Propiedades,Metro Santa Lucia / Metro Universidad De Chile,santiago,14-12-2019,5286510,-33.4486122,-70.6471024,Portal Inmobiliario,59,55,arriendo,Metro Santa Lucia / Metro Universidad De Chile,https://www.portalinmobiliario.com/arriendo/departamento/santiago-metropolitana/5286510-metro-santa-lucia-metro-universidad-de-chile-uda,380000,departamento
Maximizar Liderazgo Inmobiliario,Metro Santa Lucia / Disponibilidad Inmediata,santiago,13-12-2019,5282755,-33.4485664,-70.6452179,Portal Inmobiliario,35,35,arriendo,Metro Santa Lucia / Disponibilidad Inmediata,https://www.portalinmobiliario.com/arriendo/departamento/santiago-metropolitana/5282755-metro-santa-lucia-disponibilidad-inmediata-uda,280000,departamento
Varela Propiedades,Manuel Antonio Tocornal 532,santiago,15-12-2019,5286753,-33.4497757,-70.6399231,Portal Inmobiliario,33,33,arriendo,Manuel Antonio Tocornal 532,https://www.portalinmobiliario.com/arriendo/departamento/santiago-metropolitana/5286753-manuel-antonio-tocornal-532-uda,200000,departamento
